cancer_type,record_count,percentage,patient_count,mean_char_length,mean_token_count,low_urgency_pct,moderate_urgency_pct,high_urgency_pct
Lymphoma,2670,10.68,267,368.8,48.4,32.92,33.9,33.18
Leukemia,2600,10.4,260,369.6,48.5,32.04,34.46,33.5
Ovarian cancer,2590,10.36,259,376.0,49.7,32.01,34.32,33.67
Liver cancer,2580,10.32,258,372.4,49.5,34.92,33.18,31.9
Lung cancer,2570,10.28,257,375.5,49.9,32.18,33.93,33.89
Prostate cancer,2550,10.2,255,377.6,49.7,32.94,35.8,31.25
Colorectal cancer,2450,9.8,245,380.9,49.5,31.88,34.33,33.8
Melanoma,2370,9.48,237,369.4,48.5,33.63,33.88,32.49
Pancreatic cancer,2350,9.4,235,379.1,49.6,33.57,34.64,31.79
Breast cancer,2270,9.08,227,373.5,49.4,34.1,31.32,34.58
