term,low_freq,moderate_freq,high_freq,total_freq,association
mg,8919,9972,9352,28243,Moderate HIGH Association
cancer,7487,7819,7476,22782,Moderate LOW Association
immediate,0,0,15680,15680,Strong HIGH Association
therapy,164,0,14860,15024,Strong HIGH Association
supportive,6713,7625,0,14338,Moderate LOW Association
daily,1818,9663,1995,13476,Strong MODERATE Association
cycle,3305,9312,720,13337,Strong MODERATE Association
treatment,13184,0,0,13184,Strong LOW Association
severe,342,0,10599,10941,Strong HIGH Association
regimen,741,8437,720,9898,Strong MODERATE Association
ongoing,7304,1650,745,9699,Strong LOW Association
persistent,165,9346,0,9511,Strong MODERATE Association
grade,3257,3339,2584,9180,Moderate LOW Association
elevated,86,8507,0,8593,Strong MODERATE Association
acute,960,0,7543,8503,Strong HIGH Association
dose,0,8500,0,8500,Strong MODERATE Association
current,834,7625,0,8459,Strong MODERATE Association
toxicities,834,7625,0,8459,Strong MODERATE Association
toxicity,0,875,7430,8305,Strong HIGH Association
specialist,762,96,7430,8288,Strong HIGH Association
urgent,0,0,8027,8027,Strong HIGH Association
report,753,775,6209,7737,Strong HIGH Association
intensified,0,7625,0,7625,Strong MODERATE Association
medications,0,7625,0,7625,Strong MODERATE Association
activities,0,7625,0,7625,Strong MODERATE Association
past,0,7625,0,7625,Strong MODERATE Association
improve,0,7625,0,7625,Strong MODERATE Association
days,0,7625,0,7625,Strong MODERATE Association
demonstrate,0,7625,0,7625,Strong MODERATE Association
reduction,0,7625,0,7625,Strong MODERATE Association
values,0,7625,0,7625,Strong MODERATE Association
interfering,0,7625,0,7625,Strong MODERATE Association
fail,0,7625,0,7625,Strong MODERATE Association
living,0,7625,0,7625,Strong MODERATE Association
consider,0,7625,0,7625,Strong MODERATE Association
symptoms,0,7625,0,7625,Strong MODERATE Association
laboratory,0,7625,0,7625,Strong MODERATE Association
cessation,0,0,7430,7430,Strong HIGH Association
unstable,0,0,7430,7430,Strong HIGH Association
signs,0,0,7430,7430,Strong HIGH Association
saturation,0,0,7430,7430,Strong HIGH Association
onset,0,0,7430,7430,Strong HIGH Association
oxygen,0,0,7430,7430,Strong HIGH Association
requiring,0,0,7430,7430,Strong HIGH Association
medical,0,0,7430,7430,Strong HIGH Association
consult,0,0,7430,7430,Strong HIGH Association
vital,0,0,7430,7430,Strong HIGH Association
mandated,0,0,7430,7430,Strong HIGH Association
advanced,0,0,7430,7430,Strong HIGH Association
requested,0,0,7430,7430,Strong HIGH Association
sudden,0,0,7430,7430,Strong HIGH Association
decreased,0,0,7430,7430,Strong HIGH Association
due,0,0,7430,7430,Strong HIGH Association
harboring,7385,0,0,7385,Strong LOW Association
hydration,6692,0,0,6692,Strong LOW Association
kg,2103,2186,2341,6630,Moderate HIGH Association
limiting,6551,0,0,6551,Strong LOW Association
advised,6551,0,0,6551,Strong LOW Association
self,6551,0,0,6551,Strong LOW Association
systems,6551,0,0,6551,Strong LOW Association
warranted,6551,0,0,6551,Strong LOW Association
manageable,6551,0,0,6551,Strong LOW Association
evaluated,6551,0,0,6551,Strong LOW Association
delays,6551,0,0,6551,Strong LOW Association
notable,6551,0,0,6551,Strong LOW Association
event,77,0,5464,5541,Strong HIGH Association
adverse,77,0,5464,5541,Strong HIGH Association
mutation,3429,715,673,4817,Strong LOW Association
positive,1376,911,1693,3980,Moderate HIGH Association
oncology,2431,272,820,3523,Strong LOW Association
mild,3429,0,0,3429,Strong LOW Association
lymphoma,1048,1067,1037,3152,Moderate LOW Association
molecular,753,1650,745,3148,Moderate LOW Association
protocol,1587,775,745,3107,Moderate LOW Association
triage,741,812,1540,3093,Moderate HIGH Association
monitoring,741,812,1540,3093,Moderate HIGH Association
leukemia,997,1070,1012,3079,Moderate HIGH Association
ovarian,984,1059,1018,3061,Moderate HIGH Association
lung,984,1038,1020,3042,Moderate HIGH Association
liver,1050,1010,979,3039,Moderate LOW Association
prostate,974,1100,941,3015,Moderate LOW Association
carboplatin,893,1047,1052,2992,Moderate HIGH Association
clinical,831,775,1342,2948,Moderate HIGH Association
pembrolizumab,903,1025,1003,2931,Moderate HIGH Association
note,1365,812,720,2897,Moderate LOW Association
colorectal,920,1005,971,2896,Moderate HIGH Association
moderate,268,2565,0,2833,Strong MODERATE Association
twice,851,1180,793,2824,Moderate LOW Association
melanoma,953,943,910,2806,Moderate LOW Association
pancreatic,935,955,890,2780,Moderate LOW Association
breast,899,840,937,2676,Moderate HIGH Association
paclitaxel,775,891,791,2457,Moderate HIGH Association
fatigue,1581,875,0,2456,Strong LOW Association
neutropenia,206,847,1254,2307,Moderate HIGH Association
follow,1726,76,0,1802,Strong LOW Association
iv,425,404,962,1791,Moderate HIGH Association
receiving,865,0,820,1685,Moderate LOW Association
egfr,1015,209,197,1421,Strong LOW Association
sepsis,123,0,1212,1335,Strong HIGH Association
cramping,97,897,0,994,Strong MODERATE Association
abdominal,97,897,0,994,Strong MODERATE Association
lfts,86,882,0,968,Strong MODERATE Association
chemotherapy,942,0,0,942,Strong LOW Association
profile,0,875,0,875,Strong MODERATE Association
following,0,875,0,875,Strong MODERATE Association
history,865,0,0,865,Strong LOW Association
currently,865,0,0,865,Strong LOW Association
good,865,0,0,865,Strong LOW Association
approved,865,0,0,865,Strong LOW Association
oral,865,0,0,865,Strong LOW Association
asymptomatic,865,0,0,865,Strong LOW Association
