column_name,null_count,empty_string_count,valid_count
patient_id,0,0,23353
record_id,0,0,23353
encounter_id,0,0,23353
report_date,0,0,23353
cancer_type,0,0,23353
disease_stage,0,0,23353
report_type,0,0,23353
clinical_report,0,0,23353
target_summary,0,0,23353
source_stage,0,0,23353
data_quality_status,0,0,23353
treatment_context,0,0,23353
mutation_context,0,0,23353
biomarker_context,0,0,23353
adverse_event_context,0,0,23353
sequence_number,0,0,23353
ner_entities,0,0,23353
nlp_urgency_tier,0,0,23353
report_char_count,0,0,23353
summary_char_count,0,0,23353
summary_sentence_count,0,0,23353
