column_name,missing_count,missing_percentage,data_type
patient_id,0,0.0,object
record_id,0,0.0,object
encounter_id,0,0.0,object
report_date,0,0.0,object
cancer_type,0,0.0,object
disease_stage,0,0.0,object
report_type,0,0.0,object
clinical_report,273,1.092,object
target_summary,266,1.064,object
source_stage,0,0.0,object
data_quality_status,0,0.0,object
treatment_context,0,0.0,object
mutation_context,0,0.0,object
biomarker_context,0,0.0,object
adverse_event_context,0,0.0,object
sequence_number,0,0.0,int64
ner_entities,0,0.0,object
nlp_urgency_tier,0,0.0,object
