column_name,null_count,empty_string_count,valid_count,valid_percentage
patient_id,0,0,25000,100.0
record_id,0,0,25000,100.0
encounter_id,0,0,25000,100.0
report_date,0,0,25000,100.0
cancer_type,0,0,25000,100.0
disease_stage,0,0,25000,100.0
report_type,0,0,25000,100.0
clinical_report,0,374,24727,98.908
target_summary,0,365,24734,98.936
source_stage,0,0,25000,100.0
data_quality_status,0,0,25000,100.0
treatment_context,0,0,25000,100.0
mutation_context,0,0,25000,100.0
biomarker_context,0,0,25000,100.0
adverse_event_context,0,0,25000,100.0
sequence_number,0,0,25000,100.0
ner_entities,0,0,25000,100.0
nlp_urgency_tier,0,0,25000,100.0
